day,frame,time,density_mean_walkable,density_quantile,selection_quantile,slot_in_day,observed_fraction_walkable,timestamp
atc-20130818,12427,1376798824.24,0.06384087353944778,0.33819843342036554,0.3153846153846154,4,0.5172413793103449,1376798824.24
atc-20130818,14696,1376801093.24,0.08574819564819336,0.4452480417754569,0.3892307692307692,5,0.5275862068965518,1376801093.24
atc-20130818,17646,1376804043.24,0.08948112279176712,0.46198433420365537,0.46307692307692305,6,0.6896551724137931,1376804043.24
atc-20130818,22127,1376808524.24,0.10545234382152557,0.5362402088772846,0.5369230769230768,7,0.4379310344827586,1376808524.24
atc-20130818,24048,1376810445.24,0.12102408707141876,0.6107571801566579,0.6107692307692307,8,0.38275862068965516,1376810445.24
atc-20130818,27830,1376814227.24,0.13452842831611633,0.6846997389033943,0.6846153846153846,9,0.4896551724137931,1376814227.24
atc-20130818,28672,1376815069.24,0.14766186475753784,0.7570496083550914,0.7584615384615384,10,0.6758620689655173,1376815069.24
atc-20130818,32450,1376818847.24,0.10899922251701355,0.552845953002611,0.8323076923076922,11,0.4103448275862069,1376818847.24
atc-20130818,34561,1376820958.24,0.11518868058919907,0.5806527415143603,0.9061538461538461,12,0.6620689655172414,1376820958.24
atc-20130818,36427,1376822824.24,0.06840816885232925,0.36007832898172326,0.98,13,0.5206896551724138,1376822824.24
atc-20130825,772,1377387664.363,0.0017486767610535026,0.02016548463356974,0.02,0,0.39655172413793105,1377387664.363
atc-20130825,5171,1377392063.363,0.008834687992930412,0.083451536643026,0.084,1,0.6689655172413793,1377392063.363
atc-20130825,6438,1377393330.363,0.017241377383470535,0.14817966903073285,0.148,2,0.46206896551724136,1377393330.363
atc-20130825,8566,1377395458.363,0.033282168209552765,0.2664302600472813,0.212,3,0.5551724137931034,1377395458.363
atc-20130825,12998,1377399890.363,0.058070722967386246,0.38465721040189127,0.276,4,0.5206896551724138,1377399890.363
atc-20130825,13981,1377400873.363,0.04763736575841904,0.3400709219858156,0.34,5,0.5379310344827586,1377400873.363
atc-20130825,18178,1377405070.363,0.06227623671293259,0.4042080378250591,0.404,6,0.8413793103448276,1377405070.363
atc-20130825,19499,1377406391.363,0.07704663276672363,0.4677304964539007,0.468,7,0.43103448275862066,1377406391.363
atc-20130825,22268,1377409160.363,0.08990903943777084,0.5315130023640662,0.532,8,0.596551724137931,1377409160.363
atc-20130825,25918,1377412810.363,0.10043653845787048,0.5962174940898345,0.5960000000000001,9,0.5689655172413793,1377412810.363
atc-20130825,27257,1377414149.363,0.10967405885457993,0.6598817966903073,0.66,10,0.5,1377414149.363
atc-20130825,31148,1377418040.363,0.11861445009708405,0.7239479905437353,0.724,11,0.4689655172413793,1377418040.363
atc-20130825,34472,1377421364.363,0.12768211960792542,0.7880378250591017,0.788,12,0.46206896551724136,1377421364.363
atc-20130825,35245,1377422137.363,0.09836016595363617,0.5819385342789598,0.8520000000000001,13,0.5379310344827586,1377422137.363
atc-20130825,37592,1377424484.363,0.08367577195167542,0.49884160756501184,0.916,14,0.6241379310344828,1377424484.363
atc-20130825,40441,1377427333.363,0.08021974563598633,0.482434988179669,0.98,15,0.42758620689655175,1377427333.363
atc-20130901,529,1377995443.215,0.003448275849223137,0.020741687979539642,0.02,0,0.603448275862069,1377995443.215
atc-20130901,4357,1377999271.215,0.01718887872993946,0.09391304347826086,0.09384615384615384,1,0.5379310344827586,1377999271.215
atc-20130901,6414,1378001328.215,0.05046708509325981,0.29764705882352943,0.16769230769230767,2,0.593103448275862,1378001328.215
atc-20130901,10967,1378005881.215,0.039943039417266846,0.23982097186700768,0.2415384615384615,3,0.596551724137931,1378005881.215
atc-20130901,12641,1378007555.215,0.0544671006500721,0.31537084398976983,0.3153846153846154,4,0.6,1378007555.215
atc-20130901,14873,1378009787.215,0.07134104520082474,0.38925831202046035,0.3892307692307692,5,0.6379310344827587,1378009787.215
atc-20130901,17296,1378012210.215,0.08521448075771332,0.46329923273657286,0.46307692307692305,6,0.5758620689655173,1378012210.215
atc-20130901,22305,1378017219.215,0.09663001447916031,0.5368542199488491,0.5369230769230768,7,0.506896551724138,1378017219.215
atc-20130901,24303,1378019217.215,0.10774997621774673,0.610690537084399,0.6107692307692307,8,0.5413793103448276,1378019217.215
atc-20130901,27011,1378021925.215,0.11757852137088776,0.6843222506393862,0.6846153846153846,9,0.5482758620689655,1378021925.215
atc-20130901,29519,1378024433.215,0.12726470828056335,0.758235294117647,0.7584615384615384,10,0.4827586206896552,1378024433.215
atc-20130901,31242,1378026156.215,0.13661831617355347,0.8214066496163683,0.8323076923076922,11,0.7586206896551724,1378026156.215
atc-20130901,34025,1378028939.215,0.08128276467323303,0.44097186700767266,0.9061538461538461,12,0.6275862068965518,1378028939.215
atc-20130901,37333,1378032247.215,0.07128304243087769,0.3889002557544757,0.98,13,0.5655172413793104,1378032247.215
atc-20130915,2749,1379207593.695,0.0038993326015770435,0.020025839793281652,0.02,0,0.42758620689655175,1379207593.695
atc-20130915,5297,1379210141.695,0.011707809753715992,0.09392764857881138,0.09384615384615384,1,0.6448275862068965,1379210141.695
atc-20130915,6040,1379210884.695,0.01888936385512352,0.1697674418604651,0.16769230769230767,2,0.5482758620689655,1379210884.695
atc-20130915,9260,1379214104.695,0.03756469860672951,0.33364341085271315,0.2415384615384615,3,0.4896551724137931,1379214104.695
atc-20130915,12113,1379216957.695,0.04928644374012947,0.4144961240310078,0.3153846153846154,4,0.6793103448275862,1379216957.695
atc-20130915,14587,1379219431.695,0.045534007251262665,0.3909302325581395,0.3892307692307692,5,0.6724137931034483,1379219431.695
atc-20130915,18572,1379223416.695,0.056872282177209854,0.4630490956072351,0.46307692307692305,6,0.4103448275862069,1379223416.695
atc-20130915,20434,1379225278.695,0.0678948238492012,0.5369767441860465,0.5369230769230768,7,0.7793103448275862,1379225278.695
atc-20130915,25025,1379229869.695,0.07836383581161499,0.6107493540051679,0.6107692307692307,8,0.5275862068965518,1379229869.695
atc-20130915,27213,1379232057.695,0.08773437142372131,0.6845478036175711,0.6846153846153846,9,0.5206896551724138,1379232057.695
atc-20130915,29991,1379234835.695,0.09792667627334595,0.7584754521963825,0.7584615384615384,10,0.6275862068965518,1379234835.695
atc-20130915,31226,1379236070.695,0.09619121253490448,0.7461240310077519,0.8323076923076922,11,0.6413793103448275,1379236070.695
atc-20130915,35428,1379240272.695,0.07611063122749329,0.5944186046511628,0.9061538461538461,12,0.4586206896551724,1379240272.695
atc-20130915,37982,1379242826.695,0.06281135976314545,0.5020671834625323,0.98,13,0.6551724137931034,1379242826.695
atc-20130922,2149,1379812231.657,0.0038800896145403385,0.020078328981723237,0.02,0,0.5379310344827586,1379812231.657
atc-20130922,3966,1379814048.657,0.013956847600638866,0.09373368146214099,0.09384615384615384,1,0.38620689655172413,1379814048.657
atc-20130922,7575,1379817657.657,0.021260887384414673,0.16757180156657964,0.16769230769230767,2,0.35172413793103446,1379817657.657
atc-20130922,9602,1379819684.657,0.02833426557481289,0.24140992167101827,0.2415384615384615,3,0.6310344827586207,1379819684.657
atc-20130922,13319,1379823401.657,0.03550754860043526,0.31535248041775454,0.3153846153846154,4,0.6827586206896552,1379823401.657
atc-20130922,16159,1379826241.657,0.043121859431266785,0.38989556135770237,0.3892307692307692,5,0.6413793103448275,1379826241.657
atc-20130922,17869,1379827951.657,0.05087399482727051,0.4637859007832898,0.46307692307692305,6,0.5344827586206896,1379827951.657
atc-20130922,20369,1379830451.657,0.05861132964491844,0.5369190600522193,0.5369230769230768,7,0.7482758620689656,1379830451.657
atc-20130922,23456,1379833538.657,0.06679705530405045,0.6106005221932115,0.6107692307692307,8,0.40344827586206894,1379833538.657
atc-20130922,27186,1379837268.657,0.07502453774213791,0.6845953002610966,0.6846153846153846,9,0.7137931034482758,1379837268.657
atc-20130922,29688,1379839770.657,0.0841478481888771,0.758355091383812,0.7584615384615384,10,0.6,1379839770.657
atc-20130922,31214,1379841296.657,0.09451334178447723,0.8345169712793734,0.8323076923076922,11,0.46551724137931033,1379841296.657
atc-20130922,33858,1379843940.657,0.08328884094953537,0.7520626631853786,0.9061538461538461,12,0.5310344827586206,1379843940.657
atc-20130922,36678,1379846760.657,0.07037091255187988,0.6442036553524804,0.98,13,0.603448275862069,1379846760.657
atc-20130929,653,1380416512.89,0.01570538990199566,0.020053619302949063,0.02,0,0.6137931034482759,1380416512.89
atc-20130929,3295,1380419154.89,0.027586206793785095,0.09412868632707774,0.09384615384615384,1,0.6862068965517242,1380419154.89
atc-20130929,6758,1380422617.89,0.03563626483082771,0.1681769436997319,0.16769230769230767,2,0.6413793103448275,1380422617.89
atc-20130929,9921,1380425780.89,0.04340292513370514,0.24128686327077747,0.2415384615384615,3,0.4724137931034483,1380425780.89
atc-20130929,13336,1380429195.89,0.05098411440849304,0.31549597855227884,0.3153846153846154,4,0.7137931034482758,1380429195.89
atc-20130929,15073,1380430932.89,0.058520738035440445,0.3887667560321716,0.3892307692307692,5,0.6724137931034483,1380430932.89
atc-20130929,16925,1380432784.89,0.06574015319347382,0.46276139410187667,0.46307692307692305,6,0.4862068965517241,1380432784.89
atc-20130929,20487,1380436346.89,0.07324957847595215,0.5369436997319035,0.5369230769230768,7,0.6448275862068965,1380436346.89
atc-20130929,23326,1380439185.89,0.08068637549877167,0.6108579088471849,0.6107692307692307,8,0.596551724137931,1380439185.89
atc-20130929,26155,1380442014.89,0.08845777064561844,0.6846112600536193,0.6846153846153846,9,0.6827586206896552,1380442014.89
atc-20130929,27321,1380443180.89,0.09666669368743896,0.7584986595174262,0.7584615384615384,10,0.4,1380443180.89
atc-20130929,29916,1380445775.89,0.10581503063440323,0.832680965147453,0.8323076923076922,11,0.45517241379310347,1380445775.89
atc-20130929,34652,1380450511.89,0.08168862760066986,0.6202412868632707,0.9061538461538461,12,0.5724137931034483,1380450511.89
atc-20130929,37650,1380453509.89,0.14812253415584564,0.9789812332439678,0.98,13,0.3275862068965517,1380453509.89
